id,name,address,salary,phone,mail,gender
100,tarun,vskp,10000,84988,test@gmail.com,male
101,deepthi,sklm,15000,90921,test1@gmail.com,female
102,praveen,vzm,12000,98976,test2@gmail.com,male
103,lavanya,skml,2000,89890,test3@gmail.com,female
104,lavanya,skml,2000,89890,test3@gmail.com,female
105,lavanya,skml,2000,89890,test3@gmail.com,female
106,lavanya,skml,2000,89890,test3@gmail.com,female
107,lavanya,skml,2000,89890,test3@gmail.com,female
108,lavanya,skml,2000,89890,test3@gmail.com,female
109,lavanya,skml,2000,89890,test3@gmail.com,female
110,lavanya,skml,2000,89890,test3@gmail.com,female
111,lavanya,skml,2000,89890,test3@gmail.com,female
112,lavanya,skml,2000,89890,test3@gmail.com,female
113,lavanya,skml,2000,89890,test3@gmail.com,female
114,lavanya,skml,2000,89890,test3@gmail.com,female
115,lavanya,skml,2000,89890,test3@gmail.com,female
116,lavanya,skml,2000,89890,test3@gmail.com,female
117,lavanya,skml,2000,89890,test3@gmail.com,female
118,lavanya,skml,2000,89890,test3@gmail.com,female
119,lavanya,skml,2000,89890,test3@gmail.com,female
120,lavanya,skml,2000,89890,test3@gmail.com,female
121,lavanya,skml,2000,89890,test3@gmail.com,female
123,lavanya,skml,2000,89890,test3@gmail.com,female
124,lavanya,skml,2000,89890,test3@gmail.com,female
125,lavanya,skml,2000,89890,test3@gmail.com,female
126,lavanya,skml,2000,89890,test3@gmail.com,female
127,lavanya,skml,2000,89890,test3@gmail.com,female
